product_id,image
1,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/1.webp
2,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/1.webp
3,https://cdn.dummyjson.com/product-images/beauty/powder-canister/1.webp
4,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/1.webp
5,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/1.webp
6,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/1.webp
6,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/2.webp
6,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/3.webp
7,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/1.webp
7,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/2.webp
7,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/3.webp
8,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/1.webp
8,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/2.webp
8,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/3.webp
9,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/1.webp
9,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/2.webp
9,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/3.webp
10,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/1.webp
10,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/2.webp
10,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/3.webp
11,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/1.webp
11,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/2.webp
11,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/3.webp
12,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/1.webp
12,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/2.webp
12,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/3.webp
13,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/1.webp
13,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/2.webp
13,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/3.webp
14,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/1.webp
14,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/2.webp
14,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/3.webp
15,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/1.webp
15,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/2.webp
15,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/3.webp
16,https://cdn.dummyjson.com/product-images/groceries/apple/1.webp
17,https://cdn.dummyjson.com/product-images/groceries/beef-steak/1.webp
18,https://cdn.dummyjson.com/product-images/groceries/cat-food/1.webp
19,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/1.webp
19,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/2.webp
20,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/1.webp
21,https://cdn.dummyjson.com/product-images/groceries/cucumber/1.webp
22,https://cdn.dummyjson.com/product-images/groceries/dog-food/1.webp
23,https://cdn.dummyjson.com/product-images/groceries/eggs/1.webp
24,https://cdn.dummyjson.com/product-images/groceries/fish-steak/1.webp
25,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/1.webp
26,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/1.webp
27,https://cdn.dummyjson.com/product-images/groceries/honey-jar/1.webp
28,https://cdn.dummyjson.com/product-images/groceries/ice-cream/1.webp
28,https://cdn.dummyjson.com/product-images/groceries/ice-cream/2.webp
28,https://cdn.dummyjson.com/product-images/groceries/ice-cream/3.webp
28,https://cdn.dummyjson.com/product-images/groceries/ice-cream/4.webp
29,https://cdn.dummyjson.com/product-images/groceries/juice/1.webp
30,https://cdn.dummyjson.com/product-images/groceries/kiwi/1.webp
31,https://cdn.dummyjson.com/product-images/groceries/lemon/1.webp
32,https://cdn.dummyjson.com/product-images/groceries/milk/1.webp
33,https://cdn.dummyjson.com/product-images/groceries/mulberry/1.webp
34,https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/1.webp
35,https://cdn.dummyjson.com/product-images/groceries/potatoes/1.webp
36,https://cdn.dummyjson.com/product-images/groceries/protein-powder/1.webp
37,https://cdn.dummyjson.com/product-images/groceries/red-onions/1.webp
38,https://cdn.dummyjson.com/product-images/groceries/rice/1.webp
39,https://cdn.dummyjson.com/product-images/groceries/soft-drinks/1.webp
40,https://cdn.dummyjson.com/product-images/groceries/strawberry/1.webp
41,https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/1.webp
41,https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/2.webp
42,https://cdn.dummyjson.com/product-images/groceries/water/1.webp
43,https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/1.webp
43,https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/2.webp
43,https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/3.webp
44,https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/1.webp
45,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/1.webp
45,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/2.webp
45,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/3.webp
46,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/1.webp
46,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/2.webp
46,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/3.webp
46,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/4.webp
47,https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/1.webp
48,https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/1.webp
49,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/1.webp
49,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/2.webp
50,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/1.webp
51,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/1.webp
51,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/2.webp
51,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/3.webp
51,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/4.webp
52,https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/1.webp
53,https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/1.webp
54,https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/1.webp
55,https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/1.webp
56,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/1.webp
56,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/2.webp
56,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/3.webp
56,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/4.webp
57,https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/1.webp
58,https://cdn.dummyjson.com/product-images/kitchen-accessories/fork/1.webp
59,https://cdn.dummyjson.com/product-images/kitchen-accessories/glass/1.webp
60,https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/1.webp
61,https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/1.webp
62,https://cdn.dummyjson.com/product-images/kitchen-accessories/ice-cube-tray/1.webp
63,https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/1.webp
64,https://cdn.dummyjson.com/product-images/kitchen-accessories/knife/1.webp
65,https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/1.webp
66,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/1.webp
66,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/2.webp
66,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/3.webp
66,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/4.webp
67,https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/1.webp
67,https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/2.webp
68,https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/1.webp
69,https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/1.webp
70,https://cdn.dummyjson.com/product-images/kitchen-accessories/red-tongs/1.webp
71,https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/1.webp
72,https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/1.webp
73,https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/1.webp
74,https://cdn.dummyjson.com/product-images/kitchen-accessories/spoon/1.webp
