user_id,latitude,longitude
1,-77.16213,-92.084824
2,22.815468,115.608581
3,45.289366,46.832664
4,16.782513,-139.34723
5,0.505589,-157.43281
6,75.32627,-26.15285
7,35.289664,7.063255
8,-81.194833,-87.948158
9,74.074918,-25.312703
10,41.331324,151.782727
11,-66.218177,-145.340165
12,24.857497,-34.865429
13,-25.0377,-151.70469
14,-44.443762,-151.420561
15,8.152876,113.29799
16,12.789127,85.792598
17,-83.31484,11.768071
18,-64.846516,174.775744
19,44.321308,-3.723903
20,34.722451,63.448927
21,52.993694,160.486892
22,-54.833799,-174.504027
23,-30.190759,-58.705979
24,-32.828675,-82.557354
25,-26.832913,-75.445017
26,67.768359,71.268643
27,-3.456681,-134.937482
28,-9.87059,-72.336845
29,35.498256,154.088476
30,20.946052,100.228822
31,52.410844,23.60067
32,-20.105724,136.91646
33,-63.00584,76.189171
34,-44.27707,-40.123604
35,52.754451,32.383886
36,-41.149882,-167.072873
37,-59.018685,82.296555
38,36.157244,-29.219594
39,-50.975209,53.492629
40,-20.421386,-125.851148
41,89.781211,-50.810277
42,-59.303292,-87.318538
43,41.653453,175.676203
44,-58.699428,143.479322
45,59.268321,-30.466022
46,3.84181,-33.501862
47,2.340163,-34.156688
48,81.64788,179.922909
49,75.201414,-106.866138
50,-29.825372,116.639085
51,-15.022759,58.392572
52,-63.108401,-30.256437
53,-54.741494,-116.593511
54,-84.032892,-46.255902
55,79.330781,-13.162134
56,-30.25137,124.764848
57,-15.794158,-83.214052
58,30.371676,-141.802948
59,29.411519,23.598322
60,-78.054184,-159.412033
61,-38.914334,171.16941
62,24.228272,23.462478
63,40.581664,146.441717
64,-5.728671,38.921097
65,-25.994847,-147.135588
66,-66.092723,169.9952
67,-25.766511,-76.004117
68,89.415268,-29.532108
69,-82.516652,-147.519835
70,35.632082,127.968158
71,-87.184494,-137.530694
72,-72.323497,138.264727
73,27.088722,104.023237
74,54.991384,14.355841
75,11.44191,-42.217944
76,-61.252684,-159.370289
77,-85.385955,-49.11738
78,51.5965,47.479982
79,63.188944,-119.083714
80,-9.898936,81.738951
81,-28.392471,-44.144328
82,39.203338,-68.447736
83,-82.623651,33.259567
84,15.832722,-148.237795
85,-64.736971,-145.00299
86,-21.747982,-17.382449
87,72.687425,145.404561
88,-55.796433,-163.621876
89,-31.165455,80.818634
90,49.409345,-134.912011
91,43.752994,-60.845798
92,27.443768,-176.861979
93,37.071505,6.844804
94,17.888532,147.485554
95,87.914882,55.932358
96,83.417744,-7.933044
97,52.294653,-70.69936
98,88.607515,92.692781
99,70.915423,-30.195987
100,-68.233207,-67.04255
101,-16.873954,118.766256
102,-66.043758,-59.356632
103,-64.336051,135.876737
104,-79.040825,100.576804
105,64.320835,-25.984113
106,-70.300461,-43.907001
107,-41.687661,162.81871
108,18.738768,174.881955
109,3.39453,-101.97078
110,57.726676,172.872583
111,-67.335287,-128.480048
112,14.101714,-148.130379
113,-52.149832,-103.851339
114,17.032342,-23.993339
115,40.199624,-100.939984
116,-86.122625,174.058446
117,-55.895738,-117.829232
118,25.447567,-84.61101
119,-7.51515,115.577498
120,-62.62634,-47.556406
121,74.817644,15.72801
122,60.431607,37.172499
123,63.580461,20.01683
124,62.7964,-10.481867
125,-84.199564,-88.786066
126,-75.143865,147.08972
127,4.881216,95.227225
128,42.451115,-141.959996
129,-75.052492,-97.743046
130,45.06526,172.773263
131,89.624584,-107.671084
132,69.750311,73.644612
133,74.539668,-124.72219
134,-79.430607,19.96758
135,19.529428,165.798169
136,-26.509663,-127.744698
137,-75.122944,-64.318724
138,62.991584,152.588663
139,15.130769,31.685277
140,60.841918,105.608089
141,-80.040112,51.292783
142,56.943768,41.212736
143,45.278241,-118.657493
144,-71.093517,106.087919
145,-39.478613,-164.971685
146,-33.238059,-48.876125
147,-26.432988,79.850071
148,-20.67407,107.281052
149,81.83425,32.721892
150,14.373938,-117.931737
151,66.874876,-47.038037
152,-29.795045,-155.343108
153,16.612785,-157.687335
154,-63.953218,-179.352554
155,32.326166,-57.129602
156,89.661297,163.24939
157,-6.538887,-58.475605
158,-3.033666,-35.006014
159,-48.916279,-55.125238
160,-34.990544,5.238312
161,41.771503,-143.60333
162,81.588332,23.122562
163,49.570683,99.890665
164,-39.289112,46.108923
165,-68.346297,-105.349177
166,-59.16639,-110.237583
167,-4.634296,-76.469476
168,-4.975011,-122.36835
169,-51.482246,69.659375
170,69.798238,-23.843511
171,64.049998,17.631126
172,-39.772203,-90.030002
173,-80.129031,-63.515107
174,1.624325,169.257306
175,77.328632,-179.958549
176,2.456241,-122.373016
177,-82.732098,-118.759483
178,17.437754,52.607007
179,-11.614709,-140.027621
180,11.918088,-78.222936
181,64.264679,174.078392
182,-4.323913,-53.677351
183,46.602121,27.216432
184,51.396873,-93.569135
185,6.813674,-105.472209
186,87.610618,-10.758155
187,71.063285,15.925876
188,-88.3996,22.908268
189,41.054431,166.675065
190,21.571413,-29.683505
191,27.700352,39.899995
192,46.482884,99.998177
193,-51.810295,63.397461
194,-75.17099,-121.998953
195,-74.346078,-146.099155
196,25.678873,-49.347981
197,-41.260692,27.327538
198,-60.942128,-116.870235
199,-53.884404,-10.723838
200,48.779884,-84.200415
201,-60.719414,-51.829096
202,-1.336275,52.740574
203,64.747296,148.357671
204,23.706655,-56.346259
205,80.449539,-142.231527
206,30.069731,-118.879243
207,-64.699698,-99.677422
208,-89.0775,-81.825967
